Label	Delta.PC1	Delta.PC2	Delta.PC3	Delta.PC4	Delta.PC5	Delta.PC6	Delta.PC7	Delta.PC8	Delta.PC9	Delta.PC10	Delta.PC11	Delta.PC12	Delta.PC13
Emphysema/Chronic Bronchitis	0.00511147593514914	3.92521753524271e-05	-0.00195125881988537	-0.00721453345932531	0.00282042707508602	0.00101250714452435	-0.00171397271078537	-0.0036798215076572	-0.000281811573542649	0.00421509098941348	0.00596642127159187	0.00557799113932313	0.010616553499095
Hyperthyroidism/Thyrotoxicosis	0.0362657708831385	-0.0120945863396323	-0.0305222532711601	-0.00841052444944853	-0.00676372447007153	-0.00258312585684441	0.00147725681076837	-0.00975281339593894	-0.012852120157254	0.00800554539558888	0.00294852553719451	-0.0215126947308154	0.0247831216789696
Hayfever/Allergic Rhinitis	-0.00906855336645292	0.00235263905162959	-0.000576837305932741	-0.00130095858634769	-0.000528720355778067	0.00537776622386454	-0.002230414719358	0.00555957795038169	-0.00342335574889634	-0.00123261977793006	-0.00688001801069908	0.00981626793060481	0.0235786209517838
Autoimmune Addison's disease	0.0558506365948349	-0.0245804429939736	-0.0298559627071679	-0.00818849254978991	-0.0147226882553791	-0.0148536470903706	0.00341738801717994	-0.0350176769989746	0.0101309265552862	-0.00930405226538061	0.0215497138274922	-0.0286934090507481	0.0220957182241984
MPO+ AAV	0.0502600164296128	0.00526181553553279	-0.0126238543150815	-0.00235377434227892	-0.00891485251315012	-0.0118857374614204	0.00547612735965818	-0.0170174862068695	-0.0240133165878896	0.0144812848659303	0.0210105498431211	-0.0351730449587527	0.0216242419369606
PR3+ AAV	-0.0010916969442149	0.00357814445452167	-0.0181342247339253	-0.00064552667302152	0.0155253497217975	0.00574194505467712	0.00555096724371133	-0.0116699909210004	-0.0242862394673767	0.000386616023907909	0.014901445323023	-0.00940329095557798	0.0197531720256132
Autoimmune Thyroid disease	0.0351980133534583	-0.0111756877684188	-0.0257012581426631	-0.000548246970303677	-0.0128795277246458	-0.00496118536701658	-0.00146998600881604	-0.0179471459704833	-0.00453549808269976	0.00422266562871527	0.0104764376864399	-0.0162075502203953	0.0155667967884763
Adult-onset Asthma	-0.00452129785373508	-0.0013635850745751	-0.00240605372998287	-0.00417900804979737	0.00314263196680889	0.00280523628591743	-0.00276585519011368	0.00297735385513918	-0.00727847807201694	-0.00287192163402384	-0.0056587758002431	0.00751732709253105	0.0289753320820102
Childhood-onset Asthma	-0.0134140638708576	0.00447402219833861	-0.000144210686032292	-0.00641001742965959	0.00825425326974738	0.0121135700701454	-0.00665741277666332	0.00714969830703533	-0.00728342555718473	-0.00738618410682402	-0.0163541549204945	0.0210705410685983	0.0532716187263867
Atopic Dermatitis	-0.00756901429166398	0.0117376119971368	-0.0026337298636892	0.00317709120365257	-0.00682091928873705	0.00747213340730661	0.00123845889995546	0.00601539888196055	0.00150216539656664	-0.0117858137391281	-0.0029382286770246	0.00611199225869535	0.019055488548596
